claim,subject,predicate,object,object_queried,property_id,confidence,route,mapping_source,kg_result,kg_retrieved,entity_exists,match_direction
Aarhus is in the geographical middle of Denmark.,Aarhus,be,,,,low,semantic_search,none,pending_semantic,,,
Billie Joe Armstrong is from Georgia.,Billie Joe Armstrong,be,Georgia,georgia,P27,high,kg_exact_match,rule,no_match,,True,
New Orleans Pelicans compete in the NBA.,New Orleans Pelicans,compete,NBA,nba,P463,high,kg_exact_match,semantic_assist,property_not_in_kg,,,
Rob Sheridan was born in 1979.,Rob Sheridan,born,1979,1979,P569,high,kg_exact_match,rule,no_match,,True,
Don Hall is a film critic.,Don Hall,be,film critic,film critic,P106,high,kg_exact_match,rule,no_match,,True,
Simón Bolívar is known as El Libre.,Simón Bolívar,know,,,,low,semantic_search,none,pending_semantic,,,
Kelly Preston was involved with accounting.,Kelly Preston,involve,,,,low,semantic_search,none,pending_semantic,,,
The Lincoln-Douglas debates happened in Milton,Douglas debates,happen,,,,low,semantic_search,none,pending_semantic,,,
Eva Green had a theatre career.,Eva Green,have,,,,low,semantic_search,none,pending_semantic,,,
Tim McGraw acted in a movie.,Tim McGraw,act,,,,low,semantic_search,none,pending_semantic,,,
Moonlight's filming began after 2002.,Moonlight,begin,,,,low,semantic_search,none,pending_semantic,,,
Danielle Cormack was born in May.,Danielle Cormack,born,May,may,P569,high,kg_exact_match,rule,no_match,,True,
Paris (Paris Hilton album) incorporates elements of a musical genre.,Paris,incorporate,,,,low,semantic_search,none,pending_semantic,,,
José Ferrer was a person.,José Ferrer,be,person,person,P106,high,kg_exact_match,rule,no_match,,True,
Dave Gibbons has always been unable to write.,Dave Gibbons,be,,,,low,semantic_search,none,pending_semantic,,,
Asylum Records is an American record label founded in 1971 by two people.,Asylum Records,be,,,,low,semantic_search,none,pending_semantic,,,
Thomas Jefferson is incapable of being a presidential scholar.,Thomas Jefferson,be,president,president,P106,high,kg_exact_match,rule,no_match,,True,
Don Hall is a film writer.,Don Hall,be,writer,writer,P106,high,kg_exact_match,rule,no_match,,True,
Meteora is Linkin Park's second tour.,Meteora,be,,,,low,semantic_search,none,pending_semantic,,,
Christian Gottlob Neefe was an opera writer.,Christian Gottlob Neefe,be,writer,writer,P106,high,kg_exact_match,rule,no_match,,True,
Lou Gehrig was a baseball player who defended the area near the first base.,Lou Gehrig,be,baseball player,baseball player,P106,high,kg_exact_match,rule,match,,,
Nestor Carbonell starred in a drama series by ABC.,drama series by ABC,stars_in,Nestor Carbonell,nestor carbonell,P161,medium,kg_retrieve,rule,not_found,,False,
Taylor Lautner appeared on My Wife and Kids for six seasons.,Taylor Lautner,appeared_in,,,,low,semantic_search,none,pending_semantic,,,
Janet Leigh was a singer.,Janet Leigh,be,singer,singer,P106,high,kg_exact_match,rule,no_match,,True,
Stanley Williams was a convicted criminal.,Stanley Williams,be,convicted criminal,convicted criminal,P106,high,kg_exact_match,rule,no_match,,True,
Charles Manson was a follower of what became known as the Manson Family.,Charles Manson,be,follower,follower,P39,medium,kg_retrieve,rule,not_found,,True,
The United Nations Charter was drafted in France.,United Nations Charter,draft,,,,low,semantic_search,none,pending_semantic,,,
Michael Vick was born and raised in the United States.,Michael Vick,born,United States,united states,P19,high,kg_exact_match,rule,no_match,,True,
XHamster produces online content.,XHamster,produced,,,,low,semantic_search,none,pending_semantic,,,
Kelly Preston was not in Broken Bridges.,Kelly Preston,be,,,,low,semantic_search,none,pending_semantic,,,
Billie Joe Armstrong was named in 1972.,Billie Joe Armstrong,name,,,,low,semantic_search,none,pending_semantic,,,
Ian Brennan is a film screenwriter.,Ian Brennan,be,screenwriter,screenwriter,P106,high,kg_exact_match,rule,match,,,
"Duane Chapman's nickname is not ""Dog.""",Duane Chapman,be,"""dog","""dog",P39,medium,kg_retrieve,rule,not_found,,True,
Island Records was founded by an American singer Graeme Goodall.,Island Records,founded_by,,,,low,semantic_search,none,pending_semantic,,,
Baz Luhrmann's film has different genres.,Baz Luhrmann's,have,different s,different s,P136,high,kg_exact_match,rule,no_match,,False,
José Ferrer was a director of government projects.,José Ferrer,be,director,director,P106,high,kg_exact_match,rule,no_match,,True,
Harold Macmillan was British.,Harold Macmillan,be,United Kingdom,united kingdom,P27,high,kg_exact_match,rule,match,,,
Murda Beatz is a hip hop record producer.,Murda Beatz,be,record producer,record producer,P106,high,kg_exact_match,rule,match,,,
"The King of Hungary, Matthias Corvinus, established a royal library from 1458 and 1490.",King,founded_by,,,,low,semantic_search,none,pending_semantic,,,
Henry II of France suffered an untimely death in 1567.,Henry II,suffer,,,,low,semantic_search,none,pending_semantic,,,
Robert Palmer (writer) wrote Deep Blues.,Robert Palmer,appositive,,,P106,high,kg_exact_match,rule,skip_missing_fields,,,
Henry VIII (TV serial) stars a Venezuelan actor.,Henry VIII,stars_in,,,,low,semantic_search,none,pending_semantic,,,
Bret Easton Ellis wrote the screenplay for an erotic comedy.,Bret Easton Ellis,written_by,Bret Easton Ellis,bret easton ellis,P58,medium,kg_retrieve,semantic_assist,not_found,,True,
The 14th Dalai Lama lives in Thailand.,Dalai Lama,live,,,,low,semantic_search,none,pending_semantic,,,
Andrew Kevin Walker was shunned by the BAFTA for his screenwriting.,Andrew Kevin Walker,shun,,,,low,semantic_search,none,pending_semantic,,,
"Bea Arthur was a dancer, clown, and rapper.",Bea Arthur,be,rapper,rapper,P106,high,kg_exact_match,rule,no_match,,True,
Henry II of France died in a tournament devoted to celebrating the Peace of Cateau-Cambrésis.,Henry II,died,,,P570,low,kg_retrieve,rule,retrieved,1189-07-13,,
Taran Killam is a person.,Taran Killam,be,person,person,P106,high,kg_exact_match,rule,no_match,,True,
Tatum O'Neal is childless.,Tatum O'Neal,be,childless,childless,P106,high,kg_exact_match,rule,no_match,,True,
I Kissed a Girl was only recorded by Donald Trump.,I,kiss,,,,low,semantic_search,none,pending_semantic,,,
L.A. Reid has served as the CEO of an American record label owned by a music company.,L.A. Reid,served_as,chief executive officer,chief executive officer,P39,medium,kg_retrieve,rule,not_found,,True,
Girl is a Beatles album.,Girl,be,beatles album,beatles album,P39,medium,kg_retrieve,rule,not_found,,False,
Bessie Smith was a singer.,Bessie Smith,be,singer,singer,P106,high,kg_exact_match,rule,match,,,
The full name given to Tim Roth since birth was Timothy Simon Roth.,name,be,,,,low,semantic_search,none,pending_semantic,,,
Stan Beeman is only in shows on BBC.,Stan Beeman,be,,,,low,semantic_search,none,pending_semantic,,,
Mary-Kate Olsen and Ashley Olsen are only known as Mary-Kate Olsen and Ashley Olsen.,Ashley Olsen,know,,,,low,semantic_search,none,pending_semantic,,,
Sam Claflin is in Pirate of the Caribbean: At World's End.,Sam Claflin,be,Pirate,pirate,P131,medium,kg_exact_match,rule,property_not_in_kg,,,
"Mel B produced ""I Want You Back"".",Mel B,produced,,,,low,semantic_search,none,pending_semantic,,,
Humphrey Bogart received a nomination for a job promotion.,Humphrey Bogart,received,nomination for a job promotion,nomination for a job promotion,P166,high,kg_exact_match,rule,property_not_in_kg,,,
Simón Bolívar's dog's name is Simon Barklivar.,dog,be,simon barklivar,simon barklivar,P39,medium,kg_retrieve,rule,not_found,,False,
David Packouz was born in February of 1982.,David Packouz,born,February of 1982,1982-02,P569,high,kg_exact_match,rule,no_match,,True,
Lalla Ward has only ever been an actress.,Lalla Ward,be,actress,actress,P106,high,kg_exact_match,rule,no_match,,True,
Pearl Jam sold many songs in the early 1990s.,Pearl Jam,sell,,,,low,semantic_search,none,pending_semantic,,,
Youtube is ranked as one of the top three most popular sites in the world.,Youtube,rank,,,,low,semantic_search,none,pending_semantic,,,
"Yara Shahidi was born on February 10, 1900.",Yara Shahidi,born,"February 10, 1900",1900-02-10,P569,high,kg_exact_match,rule,no_match,,True,
Ashley Cole plays as a left-back for the Los Angeles Galaxy.,Ashley Cole,played_in,,,,low,semantic_search,none,pending_semantic,,,
Blade Runner 2049 is a movie.,Blade Runner 2049,be,movie,movie,P106,high,kg_exact_match,rule,no_match,,False,
The Chrysler Building has yet to be surpassed in height.,Chrysler Building,have,,,,low,semantic_search,none,pending_semantic,,,
Numb was in a video game's Linkin Park DLC.,Numb,be,Linkin Park DLC,linkin park dlc,P131,medium,kg_exact_match,rule,property_not_in_kg,,,
"Alice Cooper was born on February 4th, 1948.",Alice Cooper,born,"February 4th, 1948",1948-02-04,P569,high,kg_exact_match,rule,match,,,
The horse began to become domesticated around 2000 BC.,horse,begin,,,,low,semantic_search,none,pending_semantic,,,
Margaret Thatcher was the most senior politician within the Conservative Party in the UK in 1975.,Margaret Thatcher,be,politician,politician,P106,high,kg_exact_match,rule,match,,,
Tool has been awarded three Grammy Awards.,Tool,award,Grammy Awards,grammy awards,P166,high,kg_exact_match,semantic_assist,property_not_in_kg,,,
"Valencia has about 100,000 inhabitants in the administrative centre.",Valencia,have,,,,low,semantic_search,none,pending_semantic,,,
Anne Sullivan was born in October of 2010.,Anne Sullivan,born,October of 2010,2010-10,P569,high,kg_exact_match,rule,no_match,,True,
AMGTV is a television network that is family-oriented.,AMGTV,be,,,,low,semantic_search,none,pending_semantic,,,
Baz Luhrmann's film Waluigi is an epic historical romantic drama.,Baz Luhrmann's,be,,,,low,semantic_search,none,pending_semantic,,,
Keith Urban is an artist's second studio album.,Keith Urban,be,album,album,P39,medium,kg_retrieve,rule,not_found,,True,
Damon Albarn has refused to ever work with Brian Eno.,Damon Albarn,refuse,,,,low,semantic_search,none,pending_semantic,,,
Omar Epps performs the music on House.,Omar Epps,perform,,,,low,semantic_search,none,pending_semantic,,,
Dave Gibbons is an English comic book artist for Marvel Comics.,Dave Gibbons,be,United Kingdom,united kingdom,P27,high,kg_exact_match,rule,match,,,
Connie Nielsen played a bit part on The Following.,Connie Nielsen,played_in,,,,low,semantic_search,none,pending_semantic,,,
Peking University is in a special economic zone in East Asia.,Peking University,be,,,,low,semantic_search,none,pending_semantic,,,
Bethany Hamilton was a victim of a bear attack.,Bethany Hamilton,be,victim,victim,P39,medium,kg_retrieve,rule,not_found,,True,
"Scotty Moore was born on May 27, 1931.",Scotty Moore,born,"May 27, 1931",1931-05-27,P569,high,kg_exact_match,rule,no_match,,True,
Blade Runner 2049 stars Kermit the Frog.,stars,kermit the frog,,,,low,semantic_search,none,pending_semantic,,,
Bea Arthur is still alive.,Bea Arthur,be,alive,alive,P106,high,kg_exact_match,rule,no_match,,True,
Tom DeLonge formed Taking Back Sunday.,Tom DeLonge,formed,,,,low,semantic_search,none,pending_semantic,,,
Michael Vick is Jewish.,Michael Vick,be,jewish,jewish,P106,high,kg_exact_match,rule,no_match,,True,
Jeong Hyeong-don is a blond.,Jeong Hyeong-don,be,blond,blond,P106,high,kg_exact_match,rule,no_match,,True,
John Dolmayan is a signer.,John Dolmayan,be,signer,signer,P106,high,kg_exact_match,rule,no_match,,True,
Baz Luhrmann has a 2008 film mainly about monkeys.,Baz Luhrmann,have,,,,low,semantic_search,none,pending_semantic,,,
Liverpool was the town where The Beatles died.,Liverpool,be,,,,low,semantic_search,none,pending_semantic,,,
Oscar de la Hoya stopped fighting by 1995.,Oscar de la Hoya,stop,,,,low,semantic_search,none,pending_semantic,,,
The State of Palestine claims the West Bank.,State,claim,,,,low,semantic_search,none,pending_semantic,,,
Rob Sheridan was born in 1976.,Rob Sheridan,born,1976,1976,P569,high,kg_exact_match,rule,no_match,,True,
Colin Kaepernick became a starter in the National Football League.,Colin Kaepernick,become,,,,low,semantic_search,none,pending_semantic,,,
Omar Khadr was sentenced to two years in prison.,Omar Khadr,sentence,,,,low,semantic_search,none,pending_semantic,,,
Tottenham Hotspur F.C. was the first British club to win a UEFA club competition.,Tottenham Hotspur F.C,be,United Kingdom,united kingdom,P27,high,kg_exact_match,rule,no_match,,False,
Roswell was by Jason Katims.,Roswell,be,,,,low,semantic_search,none,pending_semantic,,,
Acting is a profession of Fred Armisen.,Acting,be,profession,profession,P39,medium,kg_retrieve,rule,not_found,,False,
Connie Nielsen is an English politician.,Connie Nielsen,be,,,,low,semantic_search,none,pending_semantic,,,
Miranda Otto began her film acting career in 1986.,Miranda Otto,begin,,,,low,semantic_search,none,pending_semantic,,,
Wentworth Miller made his screenwriting debut with the 2011 thriller film.,Wentworth Miller,make,,,,low,semantic_search,none,pending_semantic,,,
Derek Hough barely starred in Make Your Move.,Derek Hough,stars_in,,,,low,semantic_search,none,pending_semantic,,,
Shawn Carlson is Canadian.,Shawn Carlson,be,Canada,canada,P27,high,kg_exact_match,rule,no_match,,True,
Scotty Moore was a bassist.,Scotty Moore,be,bassist,bassist,P106,high,kg_exact_match,rule,no_match,,True,
"Michael Vick was conceived on June 26th, 1980.",Michael Vick,conceive,,,,low,semantic_search,none,pending_semantic,,,
Michael Vick is a former foot doctor.,Michael Vick,be,doctor,doctor,P106,high,kg_exact_match,rule,no_match,,True,
"In 1970, San Diego Comic-Con was founded.",San Diego Comic-Con,founded_by,,,,low,semantic_search,none,pending_semantic,,,
Taylor Lautner appeared in The Bernie Mac Show in 2001.,Taylor Lautner,appeared_in,,,,low,semantic_search,none,pending_semantic,,,
Carlos Santana is a musician.,Carlos Santana,be,musician,musician,P106,high,kg_exact_match,rule,no_match,,True,
The 14th Dalai Lama is a leader.,Dalai Lama,be,leader,leader,P39,medium,kg_retrieve,rule,not_found,,False,
Bret Easton Ellis wrote the screenplay for a film directed by Paul Schrader.,Bret Easton Ellis,written_by,Paul Schrader,paul schrader,P58,medium,kg_retrieve,semantic_assist,not_found,,True,
WGBH-TV is a radio station.,WGBH-TV,be,,,,low,semantic_search,none,pending_semantic,,,
Tim Roth is not an English director.,Tim Roth,be,director,director,P106,high,kg_exact_match,rule,no_match,,True,
Baz Luhrmann's film Australia stars Nicole Kidman as Donkey Kong.,Baz Luhrmann's,stars_in,,,,low,semantic_search,none,pending_semantic,,,
Tim McGraw attended the premiere of The Blind Side.,Tim McGraw,attend,,,,low,semantic_search,none,pending_semantic,,,
Lockheed Martin is a car company.,Martin,be,company,company,P106,high,kg_exact_match,rule,no_match,,False,
James VI and I was a lackey.,James VI,be,lackey,lackey,P106,high,kg_exact_match,rule,no_match,,True,
Nuuk is a seat of government.,Nuuk,be,,,,low,semantic_search,none,pending_semantic,,,
Robert Lopez has won a Grammy for a best selling album.,Robert Lopez,won,Grammy,grammy,P166,high,kg_exact_match,rule,property_not_in_kg,,,
